k,group,n_patients,method,mfe,r2,n_points
0,ADA negative,68,latent ODE,1.2090598112786772,0.8729491176419039,2294
0,ADA negative,68,"popPK, no covariates",1.3229642172568914,0.8091062912577612,2294
0,ADA negative,68,popPK with covariates,1.2056469050648966,0.87171641798888,2294
0,ADA negative,68,"popPK, time-varying CL",1.2056469050648966,0.87171641798888,2294
0,ADA negative,68,true model (ceiling),1.1911234800825545,0.8915282240302623,2294
0,onset after last level,52,latent ODE,1.246707925529445,0.8220405905508058,1667
0,onset after last level,52,"popPK, no covariates",1.3857313252758194,0.7415156072600835,1667
0,onset after last level,52,popPK with covariates,1.241825999515824,0.8003345866191399,1667
0,onset after last level,52,"popPK, time-varying CL",1.241825999515824,0.8003345866191399,1667
0,onset after last level,52,true model (ceiling),1.2047242656518955,0.8803888173766176,1667
1,ADA negative,68,latent ODE,1.1990532131169085,0.8355583610286746,2226
1,ADA negative,68,"popPK, no covariates",1.2719869138234845,0.8095215481117226,2226
1,ADA negative,68,popPK with covariates,1.1895590352483447,0.8714505097199725,2226
1,ADA negative,68,"popPK, time-varying CL",1.1899953467041389,0.8708029901013937,2226
1,ADA negative,68,true model (ceiling),1.1698079641202694,0.8921994792236633,2226
1,onset after last level,52,latent ODE,1.2536996954214268,0.8057443911749611,1615
1,onset after last level,52,"popPK, no covariates",1.3167642144653104,0.7349039331137163,1615
1,onset after last level,52,popPK with covariates,1.2264419956347739,0.7960434521087557,1615
1,onset after last level,52,"popPK, time-varying CL",1.2297868963443273,0.7957020781526578,1615
1,onset after last level,52,true model (ceiling),1.1740635493046427,0.8837202182965821,1615
2,ADA negative,68,latent ODE,1.203864125226493,0.8583379008489003,2158
2,ADA negative,68,"popPK, no covariates",1.2477421191708424,0.8170288553158584,2158
2,ADA negative,68,popPK with covariates,1.190876341948469,0.8707982622971222,2158
2,ADA negative,68,"popPK, time-varying CL",1.1913112037170739,0.8657500429222809,2158
2,ADA negative,68,true model (ceiling),1.1732639477705356,0.8909994862189463,2158
2,onset after last level,52,latent ODE,1.296256446607927,0.7604201877953756,1563
2,onset after last level,52,"popPK, no covariates",1.2930023828354982,0.731008851901008,1563
2,onset after last level,52,popPK with covariates,1.2223329698690413,0.7933105978946461,1563
2,onset after last level,52,"popPK, time-varying CL",1.2258681675674992,0.7969605811264066,1563
2,onset after last level,52,true model (ceiling),1.1715164917613365,0.8847941933193308,1563
