covariate,value,method,cavg
WT,25.0,latent ODE,17.990230560302734
WT,25.0,popPK with covariates,18.838673651021427
WT,25.0,truth,18.84493748971454
WT,33.75,latent ODE,20.465608596801758
WT,33.75,popPK with covariates,20.829836774303416
WT,33.75,truth,20.756153849648005
WT,42.5,latent ODE,21.849096298217773
WT,42.5,popPK with covariates,22.48950096713552
WT,42.5,truth,22.34377454269038
WT,51.25,latent ODE,22.690767288208008
WT,51.25,popPK with covariates,23.923696238558694
WT,51.25,truth,23.71177207331046
WT,60.0,latent ODE,23.31667709350586
WT,60.0,popPK with covariates,25.19282143493251
WT,60.0,truth,24.91927399240236
WT,68.75,latent ODE,23.891605377197266
WT,68.75,popPK with covariates,26.334977802195578
WT,68.75,truth,26.003527022762537
WT,77.5,latent ODE,24.495622634887695
WT,77.5,popPK with covariates,27.375937575198375
WT,77.5,truth,26.989694068871138
WT,86.25,latent ODE,25.166540145874023
WT,86.25,popPK with covariates,28.334044782954106
WT,86.25,truth,27.89566525196545
WT,95.0,latent ODE,25.9200439453125
WT,95.0,popPK with covariates,29.222874735553084
WT,95.0,truth,28.734666178309315
ALB,3.0,latent ODE,18.22248077392578
ALB,3.0,popPK with covariates,18.292527016926176
ALB,3.0,truth,17.019734352251223
ALB,3.225,latent ODE,18.93680191040039
ALB,3.225,popPK with covariates,19.734015437195033
ALB,3.225,truth,18.68058788749077
ALB,3.45,latent ODE,19.86354637145996
ALB,3.45,popPK with covariates,21.17853222357343
ALB,3.45,truth,20.37567950720341
ALB,3.675,latent ODE,21.02706527709961
ALB,3.675,popPK with covariates,22.623334977351217
ALB,3.675,truth,22.09918988725361
ALB,3.9,latent ODE,22.405872344970703
ALB,3.9,popPK with covariates,24.065941983133794
ALB,3.9,truth,23.8455183341536
ALB,4.125,latent ODE,23.92738914489746
ALB,4.125,popPK with covariates,25.504132877672525
ALB,4.125,truth,25.609371365070533
ALB,4.35,latent ODE,25.48529052734375
ALB,4.35,popPK with covariates,26.935939832761143
ALB,4.35,truth,27.385817031613726
ALB,4.574999999999999,latent ODE,26.96737289428711
ALB,4.574999999999999,popPK with covariates,28.359633218272506
ALB,4.574999999999999,truth,29.17031360356466
ALB,4.8,latent ODE,28.275487899780273
ALB,4.8,popPK with covariates,29.773704353465586
ALB,4.8,truth,30.95871950223944
INF,1.0,latent ODE,27.20063591003418
INF,1.0,popPK with covariates,30.370377645995138
INF,1.0,truth,29.20987525214282
INF,1.5858331751372434,latent ODE,25.98699188232422
INF,1.5858331751372434,popPK with covariates,28.445277785520073
INF,1.5858331751372434,truth,27.57461633099042
INF,2.514866859365871,latent ODE,24.714641571044922
INF,2.514866859365871,popPK with covariates,26.6245155357633
INF,2.514866859365871,truth,26.01876351111596
INF,3.9881592966356063,latent ODE,23.39588165283203
INF,3.9881592966356063,popPK with covariates,24.906434337229907
INF,3.9881592966356063,truth,24.541020414912676
INF,6.324555320336758,latent ODE,22.057710647583008
INF,6.324555320336758,popPK with covariates,23.28881029489123
INF,6.324555320336758,truth,23.13977417298891
INF,10.029689644980786,latent ODE,20.743053436279297
INF,10.029689644980786,popPK with covariates,21.768913476556836
INF,10.029689644980786,truth,21.813127579538953
INF,15.905414575341014,latent ODE,19.502445220947266
INF,15.905414575341014,popPK with covariates,20.343574140602026
INF,15.905414575341014,truth,20.55893319509083
INF,25.223334097887225,latent ODE,18.379499435424805
INF,25.223334097887225,popPK with covariates,19.00925204407677
INF,25.223334097887225,truth,19.37482868214755
INF,40.0,latent ODE,17.399141311645508
INF,40.0,popPK with covariates,17.76210699218034
INF,40.0,truth,18.258272666560536
PLT,180.0,latent ODE,23.699710845947266
PLT,180.0,popPK with covariates,25.071698421203603
PLT,180.0,truth,23.777099568426692
PLT,222.5,latent ODE,24.00789451599121
PLT,222.5,popPK with covariates,24.656349106087145
PLT,222.5,truth,23.777099568426692
PLT,265.0,latent ODE,23.690147399902344
PLT,265.0,popPK with covariates,24.318478255155274
PLT,265.0,truth,23.777099568426692
PLT,307.5,latent ODE,23.01490020751953
PLT,307.5,popPK with covariates,24.034265232397193
PLT,307.5,truth,23.777099568426692
PLT,350.0,latent ODE,22.242664337158203
PLT,350.0,popPK with covariates,23.78935703217566
PLT,350.0,truth,23.777099568426692
PLT,392.5,latent ODE,21.542522430419922
PLT,392.5,popPK with covariates,23.57444710831402
PLT,392.5,truth,23.777099568426692
PLT,435.0,latent ODE,20.98387908935547
PLT,435.0,popPK with covariates,23.383163203445665
PLT,435.0,truth,23.777099568426692
PLT,477.5,latent ODE,20.571136474609375
PLT,477.5,popPK with covariates,23.210954393797543
PLT,477.5,truth,23.777099568426692
PLT,520.0,latent ODE,20.28087615966797
PLT,520.0,popPK with covariates,23.054459421982276
PLT,520.0,truth,23.777099568426692
