dataset,method,k,mfe,r2,n_points
clean,latent ODE,0,1.1690803536841872,0.8771638119881338,4047
clean,"popPK, no covariates",0,1.304360617403478,0.8076856220388222,4047
clean,popPK with covariates,0,1.1712685131885026,0.8799078092237432,4047
clean,true model (ceiling),0,1.172036487877059,0.879730101916101,4047
clean,latent ODE,1,1.184011787582528,0.841475343612167,3927
clean,"popPK, no covariates",1,1.1674061851001154,0.8167918360445656,3927
clean,popPK with covariates,1,1.125738913891314,0.889034461549183,3927
clean,true model (ceiling),1,1.1276987546785853,0.889134378044769,3927
clean,latent ODE,2,1.176620502645296,0.8409782800182338,3807
clean,"popPK, no covariates",2,1.123423116617691,0.8980224730729447,3807
clean,popPK with covariates,2,1.0249018787966293,0.9906012575318442,3807
clean,true model (ceiling),2,1.0211418059964665,0.9946143343345698,3807
clean,latent ODE,3,1.168804751584945,0.8723804951709866,3687
clean,"popPK, no covariates",3,1.07044267155277,0.9243655740400167,3687
clean,popPK with covariates,3,1.0227415181306683,0.9981177013000517,3687
clean,true model (ceiling),3,1.0020582781374288,0.9998566859476871,3687
clean,latent ODE,4,1.1419920243548929,0.9200710269906596,3567
clean,"popPK, no covariates",4,1.0612658659600822,0.9418166853984313,3567
clean,popPK with covariates,4,1.0104889153390424,0.9995557258190326,3567
clean,true model (ceiling),4,1.0004102286099261,0.999994018358534,3567
clean,latent ODE,6,1.0859980722288178,0.9826509320323351,3327
clean,"popPK, no covariates",6,1.0263604214543975,0.989846978682906,3327
clean,popPK with covariates,6,1.0038733076431052,0.9999630993348411,3327
clean,true model (ceiling),6,1.0001065668599662,0.9999998980568654,3327
clean,latent ODE,8,1.0933508285094993,0.9866784653292562,3087
clean,"popPK, no covariates",8,1.0275540531923861,0.9885244895336947,3087
clean,popPK with covariates,8,1.0037024921924356,0.9999571780962635,3087
clean,true model (ceiling),8,1.000082020135818,0.9999999008925661,3087
clean,latent ODE,12,1.0737263517046247,0.9899703028230963,2607
clean,"popPK, no covariates",12,1.0278559716027031,0.9921562367570835,2607
clean,popPK with covariates,12,1.0041937927573878,0.9999723128515452,2607
clean,true model (ceiling),12,1.0000569734429763,0.9999999810108376,2607
clean,latent ODE,16,1.0814679537240703,0.9879522231489992,2127
clean,"popPK, no covariates",16,1.033901569273823,0.9895745285704853,2127
clean,popPK with covariates,16,1.0043091615998319,0.9999613878242055,2127
clean,true model (ceiling),16,1.000051361457565,0.9999999835167788,2127
clean,latent ODE,20,1.1061218874016472,0.9861775922023631,1662
clean,"popPK, no covariates",20,1.0287769759909937,0.997681197297442,1662
clean,popPK with covariates,20,1.00273629897365,0.9999883593076366,1662
clean,true model (ceiling),20,1.0000246531019932,0.9999999978364895,1662
clean,latent ODE,24,1.0648781535406062,0.9908820434024014,1182
clean,"popPK, no covariates",24,1.0269470272377965,0.9979808594393993,1182
clean,popPK with covariates,24,1.0025075604288012,0.9999909731882756,1182
clean,true model (ceiling),24,1.0000173001912611,0.9999999988209985,1182
doses,latent ODE,0,1.193162777025707,0.8817568260772898,4028
doses,"popPK, no covariates",0,1.3110616754126478,0.8347175148642488,4028
doses,popPK with covariates,0,1.188339875219559,0.8825492890954603,4028
doses,true model (ceiling),0,1.188556405089665,0.8810329518556681,4028
doses,latent ODE,1,1.2079210884872764,0.863026732729393,3908
doses,"popPK, no covariates",1,1.2313470277731362,0.8399393289246537,3908
doses,popPK with covariates,1,1.1616167559203412,0.8866619780249891,3908
doses,true model (ceiling),1,1.1576881141949071,0.8864463901219948,3908
doses,latent ODE,2,1.2072382305783722,0.853527693137856,3788
doses,"popPK, no covariates",2,1.2176180763151239,0.8431186286927566,3788
doses,popPK with covariates,2,1.158489994086508,0.8850351123728966,3788
doses,true model (ceiling),2,1.1623371069531483,0.8848531373436357,3788
doses,latent ODE,3,1.2031207221631843,0.876467626873307,3668
doses,"popPK, no covariates",3,1.1754027467013712,0.8701165941934905,3668
doses,popPK with covariates,3,1.1524202916251207,0.9001614845095197,3668
doses,true model (ceiling),3,1.1406358786363104,0.8899819239528177,3668
doses,latent ODE,4,1.1883482106443837,0.9083495184201751,3548
doses,"popPK, no covariates",4,1.1463660224564634,0.891909604410143,3548
doses,popPK with covariates,4,1.1343793531877093,0.9156498965624772,3548
doses,true model (ceiling),4,1.133631193225589,0.9065118466184063,3548
doses,latent ODE,6,1.1543132364713897,0.9373711731851345,3308
doses,"popPK, no covariates",6,1.1249382690159544,0.9313362448140865,3308
doses,popPK with covariates,6,1.1183468678072728,0.9390779149632488,3308
doses,true model (ceiling),6,1.1193046732958134,0.9365084513981885,3308
doses,latent ODE,8,1.1636402714387855,0.9266772445357694,3068
doses,"popPK, no covariates",8,1.1285149432226915,0.926696477142903,3068
doses,popPK with covariates,8,1.1201557842188523,0.9349685940512785,3068
doses,true model (ceiling),8,1.1202892892235665,0.9320550613606238,3068
doses,latent ODE,12,1.1472277236494324,0.951353846608779,2588
doses,"popPK, no covariates",12,1.1046639109343845,0.9515803685239195,2588
doses,popPK with covariates,12,1.091535092912161,0.9573511898302871,2588
doses,true model (ceiling),12,1.0929613678953927,0.9564654118150571,2588
