epoch,train_loss,val_mse,beta,lr
0,14.68453455148719,1.2733668684959412,0.04,0.003
1,10.587086833955775,1.02735835313797,0.08,0.003
2,6.972706601127061,0.5927174836397171,0.12,0.003
3,3.306906971348896,0.3569253459572792,0.16,0.003
4,1.8191336497881714,0.33080296218395233,0.2,0.003
5,1.3312060535643315,0.330292671918869,0.24,0.003
6,1.2812869206273179,0.29115013405680656,0.28,0.003
7,0.8745564976189231,0.2901471070945263,0.32,0.003
8,0.7828646383673896,0.3174259290099144,0.36,0.003
9,0.6018849852098299,0.3079430125653744,0.4,0.003
10,0.5666230654374866,0.2743728496134281,0.44,0.003
11,0.448332038795966,0.289108008146286,0.48,0.003
12,0.3327386360362644,0.2835550233721733,0.52,0.003
13,0.36229884694604314,0.28012001141905785,0.56,0.003
14,0.36315072479027116,0.2923728711903095,0.6,0.003
15,0.29279474755547763,0.2800506725907326,0.64,0.003
16,0.2475772610856637,0.29703307524323463,0.68,0.003
17,0.04077671108933146,0.2931239530444145,0.72,0.003
18,0.25238556573443705,0.28990868851542473,0.76,0.003
19,0.041257920441797866,0.28362876921892166,0.8,0.003
20,0.06246360696481364,0.27222147583961487,0.84,0.003
21,0.061904814671921694,0.27567656710743904,0.88,0.003
22,0.08843729443971747,0.25695158541202545,0.92,0.003
23,0.05818801744554947,0.3163747526705265,0.96,0.003
24,0.032571005405808526,0.25639791041612625,1.0,0.003
25,0.004596592858621018,0.24979865178465843,1.0,0.003
26,-0.05763380088739925,0.28454679623246193,1.0,0.003
27,-0.0865096143198229,0.2622416876256466,1.0,0.003
28,-0.17330031913839555,0.26522228866815567,1.0,0.003
29,-0.06074328022110456,0.25685199722647667,1.0,0.003
30,-0.12061624617553225,0.2789321690797806,1.0,0.003
31,-0.0942536995470404,0.2607341818511486,1.0,0.003
32,-0.19646344162849638,0.33605027943849564,1.0,0.003
33,-0.11807487640940047,0.2510877400636673,1.0,0.003
34,-0.15030808976906188,0.26730210706591606,1.0,0.003
35,-0.17847023938973086,0.2566240169107914,1.0,0.003
36,-0.22056449621151655,0.24440576136112213,1.0,0.003
37,-0.17397135861738655,0.26895711198449135,1.0,0.003
38,-0.13661047490777203,0.2529725097119808,1.0,0.003
39,-0.15492978222919146,0.23839064314961433,1.0,0.003
40,-0.22216679099788014,0.2488158568739891,1.0,0.003
41,-0.25533155920878314,0.27499085664749146,1.0,0.003
42,-0.24377188964696792,0.25283897295594215,1.0,0.003
